"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Instant article",In-app,iPhone,inactive,4.770359,,,,,,5,Daily,2550,1.870729,1664,1.532452,0,,0,"7-day click or 1-day view",1664,reach,2.86680235,,7,12,19,12,10,7,7,0,191,,,,,,,,,,,,0,0.470588,0.68148,0.39753,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Instant article",In-app,Other,inactive,0,,,,,,5,Daily,1,0,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"In-stream video",Desktop,Desktop,inactive,0,,,,,,5,Daily,12,0,0,0,0,,0,"7-day click or 1-day view",,,,,11,12,12,12,12,11,11,5,12,,,,,,,,,,,,0,100,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"In-stream video",In-app,"Android Smartphone",inactive,0.13001,,,,,,5,Daily,124,1.048466,124,1,0,,0,"7-day click or 1-day view",124,reach,1.04846603,,23,28,37,28,24,23,23,3,66,,,,,,,,,,,,0,22.580645,0.005653,0.004643,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"In-stream video",In-app,"Android Tablet",inactive,0,,,,,,5,Daily,1,0,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"In-stream video",In-app,iPad,inactive,0.040003,,,,,,5,Daily,35,1.142943,0,0,0,,0,"7-day click or 1-day view",,,,,20,23,30,23,21,21,20,4,35,,,,,,,,,,,,0,65.714286,0.002,0.001739,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"In-stream video",In-app,iPhone,inactive,0.13001,,,,,,5,Daily,173,0.751502,173,1,0,,0,"7-day click or 1-day view",173,reach,0.75150166,,73,84,113,84,77,73,73,3,151,,,,,,,,,,,,0,48.554913,0.001781,0.001548,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Marketplace,Desktop,Desktop,inactive,1.820137,,,,,,5,Daily,1399,1.301027,832,1.68149,0.142959,2,0.910069,"7-day click or 1-day view",832,reach,2.18766469,,53,119,203,122,74,58,53,4,331,,2,0.142959,,,,,,,,,0,8.506076,0.034342,0.015295,2,2,0.240385,0.142959,0.240385,0.910069,0.910069,0.910069,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Marketplace,In-app,"Android Smartphone",inactive,125.469445,,,,,,5,Daily,76106,1.648614,23874,3.187819,0.027593,7,5.974735,"7-day click or 1-day view",23874,reach,5.25548485,,1913,5585,13490,5618,2975,1989,1815,2,28206,,7,0.009198,,,,,,,,,0,7.338449,0.065588,0.022465,7,7,0.029321,0.009198,0.029321,17.924206,17.924206,6.273472,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Marketplace,In-app,"Android Tablet",inactive,0.340026,,,,,,5,Daily,254,1.338683,254,1,0,,0,"7-day click or 1-day view",254,reach,1.33868345,,10,20,55,20,13,10,10,3,97,,,,,,,,,,,,0,7.874016,0.034003,0.017001,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Marketplace,In-app,iPad,inactive,4.160313,,,,,,5,Daily,2698,1.541999,1344,2.00744,0.111193,2,1.386771,"7-day click or 1-day view",1344,reach,3.09547112,,88,263,550,263,148,91,81,3,794,,2,0.074129,,,,,,,,,0,9.747961,0.047276,0.015819,2,2,0.14881,0.074129,0.14881,2.080157,2.080157,1.386771,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Marketplace,In-app,iPhone,inactive,168.362674,,,,,,5,Daily,101928,1.65178,37828,2.694512,0.033357,29,4.951843,"7-day click or 1-day view",37828,reach,4.45074216,,1773,5390,16534,5385,2711,1857,1714,2,38251,,29,0.028451,,,,,,,,,0,5.288046,0.094959,0.031236,29,29,0.076663,0.028451,0.076663,5.805609,5.805609,4.951843,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Search results",Desktop,Desktop,inactive,0.060005,,,,,,5,Daily,44,1.363739,0,0,0,,0,"7-day click or 1-day view",,,,,6,7,8,7,6,6,6,7,11,,,,,,,,,,,,0,15.909091,0.010001,0.008572,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Search results",In-app,"Android Smartphone",inactive,6.260471,,,,,,5,Daily,4785,1.308353,4160,1.15024,0.041797,,3.130236,"7-day click or 1-day view",4160,reach,1.50492098,,171,491,1006,491,276,180,161,4,1516,,,,,,,,,,,,0,10.261233,0.036611,0.01275,,,0,,,,,3.130236,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Search results",In-app,"Android Tablet",inactive,0.040003,,,,,,5,Daily,16,2.500188,16,1,0,,0,"7-day click or 1-day view",16,reach,2.50018822,,,,1,,,,,1,4,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Search results",In-app,iPad,inactive,0.180014,,,,,,5,Daily,136,1.323629,64,2.125,0.735294,1,0.180014,"7-day click or 1-day view",64,reach,2.81271174,,3,7,24,7,3,3,3,2,39,,1,0.735294,,,,,,,,,0,5.147059,0.060005,0.025716,1,1,1.5625,0.735294,1.5625,0.180014,0.180014,0.180014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Search results",In-app,iPhone,inactive,8.840666,,,,,,5,Daily,7188,1.22992,5761,1.2477,0.055648,3,2.210166,"7-day click or 1-day view",5761,reach,1.53457135,,322,592,1372,590,391,335,315,4,2464,,3,0.041736,,,,,,,,,0,8.235949,0.027455,0.014934,3,3,0.052074,0.041736,0.052074,2.946889,2.946889,2.210166,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
