"Reporting starts","Reporting ends","Campaign name","Audience segments","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2025-05-25,2025-05-25,"RORY LOWE TOUR - SALES",unknown,not_delivering,0,,,,,,"Using ad set budget",0,0,0,0,0,0,,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2025-04-25,2025-05-05,Sales
2025-05-25,2025-05-25,"RORY LOWE TOUR - SALES",prospecting,not_delivering,70.61,,,,,,"Using ad set budget",0,6215,11.361223,4806,1.293175,0,42,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,0.675784,29,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.434828,,2025-04-25,2025-05-05,Sales
2025-05-25,2025-05-25,"RORY LOWE TOUR - SALES",existing,not_delivering,18.83,,,,,,"Using ad set budget",0,841,22.390012,342,2.459064,0,5,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,0.59453,3,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.276667,,2025-04-25,2025-05-05,Sales
2025-05-25,2025-05-25,"Traffic - All Shows 14 Feb 25",unknown,active,24.19,,,,,,"Using ad set budget",0,2193,11.030552,2068,1.060445,0,60,0,"7-day click or 1-day view",6,actions:landing_page_view,4.03166667,,,302,,,,,,00:00:00,,,,2.735978,6,,,,,,,,0,13.77109,,0.080099,,,0,,,,,0,,,,,,,,,,,,,,,,4,,4,,,,,,,6.0475,4.031667,,2025-02-14,2025-05-07,Traffic
2025-05-24,2025-05-24,"RORY LOWE TOUR - Traffic",unknown,active,40.74,,,,,,"Using ad set budget",0,7103,5.735605,6450,1.10124,0,509,0,"7-day click or 1-day view",401,actions:landing_page_view,0.10159601,,,2357,,,,,,00:00:00,,,,7.165986,401,,,,,,,,0,33.183162,,0.017285,,,0,,,,,0,,,,,,,,,,,,,,,,267,,267,,,,,,,0.152584,0.101596,,2025-04-25,2025-05-25,Traffic
2025-05-24,2025-05-24,"RORY LOWE TOUR - SALES",unknown,not_delivering,0,,,,,,"Using ad set budget",0,0,0,0,0,0,,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2025-04-25,2025-05-05,Sales
2025-05-24,2025-05-24,"RORY LOWE TOUR - SALES",prospecting,not_delivering,259.53,,,,,,"Using ad set budget",0,22300,11.638117,18002,1.238751,0,323,0,"Multiple attribution settings",,,,,,5727,,,,,,00:00:00,,,,1.44843,222,,,,,,,,0,25.681614,,0.045317,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.169054,,2025-04-25,2025-05-05,Sales
2025-05-24,2025-05-24,"RORY LOWE TOUR - SALES",existing,not_delivering,23.87,,,,,,"Using ad set budget",0,949,25.152792,417,2.275779,0,18,0,"Multiple attribution settings",,,,,,150,,,,,,00:00:00,,,,1.896733,14,,,,,,,,0,15.806112,,0.159133,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.705,,2025-04-25,2025-05-05,Sales
2025-05-24,2025-05-24,"Traffic - All Shows 14 Feb 25",unknown,active,37.65,,,,,,"Using ad set budget",0,4037,9.326232,3493,1.15574,0,88,0,"7-day click or 1-day view",7,actions:landing_page_view,5.37857143,,,608,,,,,,00:00:00,,,,2.179837,7,,,,,,,,0,15.060689,,0.061924,,,0,,,,,0,,,,,,,,,,,,,,,,2,,2,,,,,,,18.825,5.378571,,2025-02-14,2025-05-07,Traffic
2025-05-23,2025-05-23,"RORY LOWE TOUR - Traffic",unknown,active,11.98,,,,,,"Using ad set budget",0,622,19.26045,546,1.139194,0,2,0,"7-day click or 1-day view",3,actions:landing_page_view,3.99333333,,,,,,,,,00:00:00,,,,0.321543,3,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.993333,,2025-04-25,2025-05-25,Traffic
