"Reporting starts","Reporting ends","Ad Set Name","Time of day (ad account time zone)","Ad set delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",custom_audiences,"Optimization events","Optimization Event Indicator","Optimization event conversion window"
2022-05-01,2025-06-01,"iD Comedy Club Instagram Engagers","00:00:00 - 00:59:59",inactive,0.73,,,,,,10.43,Lifetime,55,13.272727,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,2024-06-24,2024-06-26,,,,
2022-05-01,2025-06-01,"Event: Dark Jokes Night (Halloween)","00:00:00 - 00:59:59",not_delivering,0.56,,,,,,"Using campaign budget",0,30,18.666667,0,0,3.333333,,0.56,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-25,2022-10-25,,,,
2022-05-01,2025-06-01,"CANBERRA: Rory Lowe Traffic","00:00:00 - 00:59:59",inactive,9.533677,,,,,,10,Daily,1153,8.268584,0,0,9.54033,86,0.08667,"7-day click or 1-day view",71,actions:landing_page_view,0.13427714,,,357,,,,,,00:00:00,,,,7.458803,71,,,,,,,,0,30.962706,,0.026705,,86,0,7.458803,,,,0,,,,,,,,,,,,,,,,,,73,,,,,,,,0.134277,,2025-05-06,2025-05-28,,71,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Mailchimp Grouped Remarketing Audience","00:00:00 - 00:59:59",not_delivering,0.14,,,,,,14.72,Lifetime,22,6.363636,0,0,4.545455,,0.14,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-01-16,,,,
2022-05-01,2025-06-01,"AlanFang Promo Video","00:00:00 - 00:59:59",not_delivering,1.52,,,,,,50,Lifetime,149,10.201342,0,0,0,,0,"7-day click or 1-day view",,,,,,72,,,,,,00:00:00,,,,,,,,,,,,,0,48.322148,,0.021111,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-29,2024-06-21,,,,
2022-05-01,2025-06-01,"NEWCASTLE: Rory Lowe Traffic","00:00:00 - 00:59:59",active,4.32098,,,,,,5,Daily,637,6.783327,0,0,13.186813,66,0.05144,"7-day click or 1-day view",49,actions:landing_page_view,0.08818326,,,274,,,,,,00:00:00,,,,10.361068,49,,,,,,,,0,43.014129,,0.01577,,66,0,10.361068,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.088183,,2025-05-05,2025-05-22,,49,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Whole Festival Dynamic Creative","00:00:00 - 00:59:59",not_delivering,23.381738,3,,,,84,"Using campaign budget",0,1901,12.299705,0,0,5.260389,41,0.233817,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,7.79391282,,,521,,,,,,00:00:00,,,,2.15676,53,,1,,,,,3.592547,0,27.406628,,0.044879,,41,0,2.15676,,,,0,,,,,20,,20,,,,,,,,,,,,,,,,,,,0.441165,,2024-07-03,2024-07-03,,3,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
2022-05-01,2025-06-01,"Traffic Ad Steph melb","00:00:00 - 00:59:59",not_delivering,3,,,,,,55,Lifetime,119,25.210084,0,0,10.92437,11,0.230769,"7-day click or 1-day view",11,actions:link_click,0.27272727,,,45,,,,,,00:00:00,,,,9.243697,,,,,,,,,0,37.815126,,0.066667,,11,0,9.243697,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-30,2024-06-21,,11,actions:link_click,"1-day click"
2022-05-01,2025-06-01,"MANDURAH: Rory Lowe Traffic","00:00:00 - 00:59:59",active,6.312428,,,,,,5,Daily,1037,6.087202,0,0,13.018322,104,0.046759,"7-day click or 1-day view",72,actions:landing_page_view,0.08767261,,,421,,,,,,00:00:00,,,,10.02893,72,,,,,,,,0,40.597879,,0.014994,,104,0,10.02893,,,,0,,,,,,,,,,,,,,,,,,73,,,,,,,,0.087673,,2025-05-05,2025-05-22,,72,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"REACH: Whole Festival Dynamic Creative","00:00:00 - 00:59:59",not_delivering,1.91,,,,,,"Using campaign budget",0,858,2.226107,0,0,0.34965,,0.636667,"7-day click or 1-day view",,,,,,195,,,,,,00:00:00,,,,,,,,,,,,,0,22.727273,,0.009795,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-10,2025-01-16,,,,
