"Reporting starts","Reporting ends","Campaign name","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,"MICF: Sydney Showcase 070424",inactive,99.99,4,24.9975,0.80188,80.18,80.18,"Using ad set budget",0,11000,9.09,8533,1.289113,0.445455,27,2.040612,"1-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,24.9975,,241,1662,1299,567,339,248,239,2,8923,,27,0.245455,28,2,2,,,2,2,0.80188,0,15.109091,0.414896,0.060162,27,27,0.316419,0.245455,0.316419,3.703333,3.703333,2.173696,,,,,38,,38,,,49.995,34.54,,34.54,,49.995,,,,,,,,,,,3.571071,,2024-04-06,2025-02-16,Sales
2022-05-01,2025-05-31,"Steph Video Views Awareness",inactive,49.84,,,,,,"Using ad set budget",0,4592,10.853659,4505,1.019312,0.130662,2,8.306667,"7-day click or 1-day view",469,video_thruplay_watched_actions,0.10626866,,469,2005,992,514,293,131,116,6,4385,,2,0.043554,,,,,,,,,0,43.662892,0.106269,0.024858,2,2,0.044395,0.043554,0.044395,24.92,24.92,8.306667,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-29,2025-02-16,Awareness
2022-05-01,2025-05-31,"Retargeting - July 24",inactive,399.99,37,10.810541,5.829221,2331.63,2331.63,400,Lifetime,36510,10.955629,11650,3.133906,1.961107,404,0.558645,"7-day click or 1-day view",37,actions:offsite_conversion.fb_pixel_purchase,10.81054054,,2209,4299,2202,1546,1089,923,828,11,11535,,330,1.106546,308,33,33,16,16,26,26,5.829221,0,11.774856,0.181073,0.093043,338,403,2.832618,1.103807,2.901288,1.183402,1.212091,0.74486,,,,,1188.8,,1188.8,,24.999375,12.120909,889.29,,889.29,,15.384231,20,,20,,,,,,,19.9995,1.298669,,2024-06-21,2025-02-16,Sales
2022-05-01,2025-05-31,"Gerry Melb 23 - Traffic",inactive,97.26,,,,,,"Using ad set budget",0,10090,9.639247,7890,1.278834,6.650149,547,0.144948,"7-day click or 1-day view",547,actions:link_click,0.17780622,,928,2577,932,755,670,486,333,8,7673,,517,5.421209,1,,,,,,,,0,25.540139,0.104806,0.037742,517,547,6.552598,5.421209,6.552598,0.188124,0.188124,0.164569,,,,,,,,,,,,,,,,,,,,,,,,,,97.26,,2023-04-20,2023-04-23,Traffic
2022-05-01,2025-05-31,"Encore Festival: Reach - July 24",inactive,49.99,,,,,,50,Lifetime,22408,2.2309,22147,1.011785,0.522135,27,0.427265,"7-day click or 1-day view",22147,reach,2.25719059,,1490,5167,2229,1140,832,604,512,4,20620,,27,0.120493,19,1,1,,,,,,0,23.058729,0.03355,0.009675,27,27,0.121913,0.120493,0.121913,1.851481,1.851481,0.446339,,,,,20,,20,,,49.99,,,,,,,,,,,,,,,,2.631053,,2024-07-10,2025-02-16,Awareness
2022-05-01,2025-05-31,"Gerry Melb 23 - Reach",inactive,94.3,,,,,,"Using ad set budget",0,18105,5.208506,17923,1.010155,0.23198,23,2.245238,"7-day click or 1-day view",5025,video_thruplay_watched_actions,0.01876617,,5025,10807,5044,3670,2963,1501,899,15,17886,,23,0.127037,,,,,,,,,0,59.690693,0.018766,0.008726,23,23,0.128327,0.127037,0.128327,4.1,4.1,2.3575,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-20,2023-04-23,Engagement
2022-05-01,2025-05-31,"Encore Festival: Traffic - July 24",inactive,419.99,6,69.998333,0.17048,71.6,71.6,420,Lifetime,53342,7.873533,27650,1.929186,11.098197,4828,0.070944,"7-day click or 1-day view",4521,actions:landing_page_view,0.09289759,,7928,15873,8640,6586,5725,4999,4671,13,33849,,4044,9.051029,4521,3,3,1,1,4,4,0.17048,0,29.757039,0.052976,0.026459,4003,4828,14.625678,9.051029,14.477396,0.104919,0.103855,0.093062,,,,,71,,71,,419.99,139.996667,148.64,,148.64,,104.9975,,,,,,,,,,,0.092898,,2024-07-11,2025-02-16,Traffic
2022-05-01,2025-05-31,"Day Of Boost 1% LL Traffic",inactive,170.63,,,,,,"Using ad set budget",0,13550,12.59262,8682,1.5607,0.907749,77,1.387236,"1-day click or 1-day view",,,,,94,820,601,224,124,85,83,2,3810,,73,0.568266,51,,,,,2,2,,0,6.051661,1.815213,0.208085,73,77,0.84082,0.568266,0.84082,2.337397,2.337397,1.594673,,,,,,,,,,,2255.29,,2255.29,,85.315,72,,72,,,,,,,2.369861,3.345686,,2023-05-15,2023-05-29,Sales
2022-05-01,2025-05-31,"Retargeting - July 24 - GoodChat + Steph",inactive,300,20,15,4.1015,1230.45,1230.45,300,Lifetime,25769,11.641895,8597,2.997441,1.854942,259,0.627615,"7-day click or 1-day view",20,actions:offsite_conversion.fb_pixel_purchase,15,,1593,3198,1855,1402,1041,777,715,9,8816,,239,1.005084,206,42,42,5,5,15,15,4.1015,0,12.41026,0.188324,0.093809,238,258,2.78004,1.001203,2.768408,1.260504,1.25523,0.735294,,,,,1635.45,,1635.45,,60,7.142857,886.46,,886.46,,20,8,,8,,,,,,,37.5,1.456311,,2024-07-16,2025-02-16,Sales
2022-05-01,2025-05-31,"Jarred Fell Conversion 2%",inactive,99.99,4,24.9975,1.379538,137.94,137.94,100,Lifetime,6201,16.124819,3192,1.942669,1.644896,58,0.980294,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,24.9975,,281,1005,440,292,216,183,158,8,2204,,51,0.935333,31,3,3,,,3,3,1.379538,0,16.207063,0.355836,0.099493,50,57,1.597744,0.919207,1.566416,1.9998,1.960588,1.14931,,,,,,,,,,33.33,193.5,,193.5,,33.33,41,,41,,,,,,,2.43878,3.225484,,2023-05-16,2025-02-16,Sales
