Reporting starts,Reporting ends,Ad Set Name,Audience segments,Ad set delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Adds of payment info,Website adds of payment info,Checkouts Initiated,Website checkouts initiated,Website purchase ROAS (return on ad spend),Views,3-second video plays rate per impressions,Cost per ThruPlay (AUD),Cost per 3-second video play (AUD),Unique outbound clicks,Outbound clicks,Unique CTR (link click-through rate),Outbound CTR (click-through rate),Unique outbound CTR (click-through rate),Cost per unique outbound click (AUD),Cost per unique link click (AUD),Cost per unique click (all) (AUD),Adds of payment info conversion value,In-app adds of payment info conversion value,Website adds of payment info conversion value,Offline adds of payment info conversion value,Adds to cart conversion value,In-app adds to cart conversion value,Website adds to cart conversion value,Offline adds to cart conversion value,Cost per add of payment info (AUD),Cost per add to cart (AUD),Checkouts initiated conversion value,In-app checkouts initiated conversion value,Website checkouts initiated conversion value,Offline checkouts initiated conversion value,Cost per checkout initiated (AUD),Content views,In-app content views,Website content views,Offline content views,Meta content views,Content views conversion value,In-app content views conversion value,Website content views conversion value,Offline content views conversion value,Cost per content view (AUD),Cost per landing page view (AUD),Orders created,Date created,Date last edited,custom_audiences,Optimization events,Optimization Event Indicator,Optimization event conversion window
28/05/2025,28/05/2025,Rory: Brisbane Sales,prospecting,recently_completed,178.2,1,178.2,0.392817,70,70,Using campaign budget,0,14959,11.912561,9093,1.645112,0,296,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,178.2,,,5976,,,,,,0:00:00,,,,1.978742,121,,,,,,,0.392817,0,39.949194,,0.029819,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,178.2,1.472727,,27/05/2025,27/05/2025,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
28/05/2025,28/05/2025,Rory: Brisbane Sales,existing,recently_completed,21.98,,,,,,Using campaign budget,0,859,25.587893,253,3.395257,0,38,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,256,,,,,,0:00:00,,,,4.423749,18,,,,,,,,0,29.802095,,0.085859,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.221111,,27/05/2025,27/05/2025,,,,
28/05/2025,28/05/2025,Rory: Brisbane Conversions UPDATED v2,prospecting,inactive,0,,,,,,600,Lifetime,0,0,0,0,0,,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,0:00:00,,,,,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,22/05/2025,27/05/2025,,,,
28/05/2025,28/05/2025,MANDURAH: Rory Lowe Traffic,unknown,active,6.22,,,,,,5,Daily,1100,5.654545,955,1.151832,0,110,0,7-day click or 1-day view,87,actions:landing_page_view,0.07149425,,,345,,,,,,0:00:00,,,,10,87,,,,,,,,0,31.363636,,0.018029,,,0,,,,,0,,,,,,,,,,,,,,,,86,,86,,,,,,,0.072326,0.071494,,5/05/2025,22/05/2025,,87,actions:landing_page_view,1-day click
28/05/2025,28/05/2025,NEWCASTLE: Rory Lowe Traffic,unknown,active,5.97,,,,,,5,Daily,996,5.993976,925,1.076757,0,100,0,7-day click or 1-day view,80,actions:landing_page_view,0.074625,,,343,,,,,,0:00:00,,,,10.040161,80,,,,,,,,0,34.437751,,0.017405,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.074625,,5/05/2025,22/05/2025,,80,actions:landing_page_view,1-day click
28/05/2025,28/05/2025,CANBERRA: Rory Lowe Traffic,unknown,inactive,0.07,,,,,,10,Daily,12,5.833333,12,1,0,,0,7-day click or 1-day view,,,,,,4,,,,,,0:00:00,,,,,,,,,,,,,0,33.333333,,0.0175,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/05/2025,28/05/2025,,,,
28/05/2025,28/05/2025,PERTH: Rory Lowe Traffic,unknown,active,3.32,,,,,,5,Daily,587,5.655877,508,1.155512,0,38,0,7-day click or 1-day view,33,actions:landing_page_view,0.10060606,,,187,,,,,,0:00:00,,,,6.473595,33,,,,,,,,0,31.856899,,0.017754,,,0,,,,,0,,,,,,,,,,,,,,,,33,,33,,,,,,,0.100606,0.100606,,5/05/2025,22/05/2025,,33,actions:landing_page_view,1-day click
28/05/2025,28/05/2025,ALL SHOWS Flexible Creative TRAFFIC,unknown,active,17.17,,,,,,22,Daily,1737,9.884859,1652,1.051453,0,65,0,7-day click or 1-day view,4,actions:landing_page_view,4.2925,,,247,,,,,,0:00:00,,,,3.742084,4,,,,,,,,0,14.219919,,0.069514,,,0,,,,,0,,,,,,,,,,,,,,,,2,,2,,,,,,,8.585,4.2925,,14/02/2025,22/05/2025,,4,actions:landing_page_view,1-day click
27/05/2025,27/05/2025,Rory: Brisbane Sales,prospecting,recently_completed,68.79,,,,,,Using campaign budget,0,5150,13.357282,4607,1.117864,0,52,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,1278,,,,,,0:00:00,,,,1.009709,26,,,,,,,,0,24.815534,,0.053826,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.645769,,27/05/2025,27/05/2025,,,,
27/05/2025,27/05/2025,Rory: Brisbane Sales,existing,recently_completed,1.98,,,,,,Using campaign budget,0,100,19.8,72,1.388889,0,2,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,25,,,,,,0:00:00,,,,2,,,,,,,,,0,25,,0.0792,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/05/2025,27/05/2025,,,,
